date,T10.2,T10.3,T10.6,T10.7,T26.6,T26.7,T26.8,T26.9,T29.2,T29.1
03/24/16,90,90,90,90,90,90,90,90,90,0
03/25/16,90,90,90,90,90,90,90,90,90,0
03/26/16,90,90,90,90,90,90,90,90,90,0
03/27/16,90,90,90,90,90,90,90,90,90,0
03/28/16,90,90,90,90,90,90,90,90,90,0
03/29/16,90,90,90,90,90,90,90,90,90,0
03/30/16,90,90,90,90,90,90,90,90,90,0
03/31/16,90,90,90,90,90,90,90,90,90,0
04/01/16,90,90,90,90,90,90,90,90,90,0
04/02/16,90,90,90,90,90,90,90,90,90,0
04/03/16,90,90,90,90,90,90,90,90,90,0
04/04/16,90,90,90,90,90,90,90,90,90,0
04/05/16,90,90,90,90,90,90,90,90,90,0
04/06/16,90,90,90,90,90,90,90,90,90,0
04/07/16,90,90,90,90,90,90,90,90,90,0
04/08/16,90,90,90,90,90,90,90,90,90,0
04/09/16,90,90,90,90,90,90,90,90,90,0
04/10/16,90,90,90,90,90,90,90,90,90,0
04/11/16,90,90,90,90,90,90,90,90,90,0
04/12/16,90,90,90,90,90,90,90,90,90,0
04/13/16,90,90,90,90,90,90,90,90,90,0
04/14/16,90,90,90,90,90,90,90,90,90,0
04/15/16,90,90,90,90,90,90,90,90,90,0
04/16/16,90,90,90,90,90,90,90,90,90,0
04/17/16,90,90,90,90,90,90,90,90,90,0
04/18/16,90,90,90,90,90,90,90,90,90,0
04/19/16,90,90,90,90,90,90,90,90,90,0
04/20/16,90,90,90,90,90,90,90,90,90,0
04/21/16,90,90,90,90,90,90,90,90,90,0
04/22/16,90,90,90,90,90,90,90,90,90,0
04/23/16,90,90,90,90,90,90,90,90,90,0
04/24/16,90,90,90,90,90,90,90,90,90,0
04/25/16,90,90,90,90,90,90,90,90,90,0
04/26/16,90,90,90,90,90,90,90,90,90,0
04/27/16,90,90,90,90,90,90,90,90,90,0
04/28/16,90,90,90,90,90,90,90,90,90,0
04/29/16,90,90,90,90,90,90,90,90,90,0
04/30/16,90,90,90,90,90,90,90,90,90,0
05/01/16,90,90,90,90,90,90,90,90,90,0
05/02/16,90,90,90,90,90,90,90,90,90,0
05/03/16,90,90,90,90,90,90,90,90,90,0
05/04/16,90,90,90,90,90,90,90,90,90,0
05/05/16,90,90,90,90,90,90,90,90,90,0
05/06/16,90,90,90,90,90,90,90,90,90,0
05/07/16,90,90,90,90,90,90,90,90,90,0
05/08/16,90,90,90,90,90,90,90,90,90,0
05/09/16,90,90,90,90,90,90,90,90,90,0
05/10/16,90,90,90,90,90,90,90,90,90,0
05/11/16,90,90,90,90,90,90,90,90,90,0
05/12/16,90,90,90,90,90,90,90,90,90,0
05/13/16,90,90,90,90,90,90,90,90,90,0
05/14/16,90,90,90,90,90,90,90,90,90,0
05/15/16,90,90,90,90,90,90,90,90,90,0
05/16/16,90,90,90,90,90,90,90,90,90,0
05/17/16,90,90,90,90,90,90,90,90,90,0
05/18/16,90,90,90,90,90,90,90,90,90,0
05/19/16,90,90,90,90,90,90,90,90,90,0
05/20/16,90,90,90,90,90,90,90,90,90,0
05/21/16,90,90,90,90,90,90,90,90,90,0
05/22/16,90,90,90,90,90,90,90,90,90,0
05/23/16,90,90,90,90,90,90,90,90,90,0
05/24/16,90,90,90,90,90,90,90,90,90,0
05/25/16,90,90,90,90,90,90,90,90,90,0
05/26/16,90,90,90,90,90,90,90,90,90,0
05/27/16,90,90,90,90,90,90,90,90,90,0
05/28/16,90,90,90,90,90,90,90,90,90,0
05/29/16,90,90,90,90,90,90,90,90,90,0
05/30/16,90,90,90,90,90,90,90,90,90,0
05/31/16,90,90,90,90,90,90,90,90,90,0
06/01/16,90,90,90,90,90,90,90,90,90,0
06/02/16,90,90,90,90,90,90,90,90,90,0
06/03/16,90,90,90,90,90,90,90,90,90,0
06/04/16,90,90,90,90,90,90,90,90,90,0
06/05/16,90,90,90,90,90,90,90,90,90,0
06/06/16,90,90,90,90,90,90,90,90,90,0
06/07/16,90,90,90,90,90,90,90,90,90,0
06/08/16,90,90,90,90,90,90,90,90,90,0
06/09/16,90,90,90,90,90,90,90,90,90,0
06/10/16,90,90,90,90,90,90,90,90,90,0
06/11/16,90,90,90,90,90,90,90,90,90,0
06/12/16,90,90,90,90,90,90,90,90,90,0
06/13/16,90,90,90,90,90,90,90,90,90,0
06/14/16,90,90,90,90,90,90,90,90,90,0
06/15/16,90,90,90,90,90,90,90,90,90,0
06/16/16,90,90,90,90,90,90,90,90,90,0
06/17/16,90,90,90,90,90,90,90,90,90,0
06/18/16,90,90,90,90,90,90,90,90,90,0
06/19/16,90,90,90,90,90,90,90,90,90,0
06/20/16,90,90,90,90,90,90,90,90,90,0
06/21/16,90,90,90,90,90,90,90,90,90,0
06/22/16,90,90,90,90,90,90,90,90,90,0
06/23/16,90,90,90,90,90,90,90,90,90,0
06/24/16,90,90,90,90,90,90,90,90,90,0
06/25/16,90,90,90,90,90,90,90,90,90,0
06/26/16,90,90,90,90,90,90,90,90,90,0
06/27/16,90,90,90,90,90,90,90,90,90,0
06/28/16,90,90,90,90,90,90,90,90,90,0
06/29/16,90,90,90,90,90,90,90,90,90,0
06/30/16,90,90,90,90,90,90,90,90,90,0
